time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073913
0.015000,0.523367
0.020000,-0.426440
0.025000,0.916373
0.030000,-0.296304
0.035000,0.182468
0.040000,-0.569640
0.045000,0.309516
0.050000,-1.086069
0.055000,0.000299
0.060000,0.410453
0.065000,-0.800062
0.070000,0.975980
0.075000,0.599937
0.080000,0.179727
0.085000,0.498539
0.090000,0.770222
0.095000,-0.033884
0.100000,0.839457
0.105000,1.057862
0.110000,0.319557
0.115000,0.057438
0.120000,-0.140556
0.125000,-0.094232
0.130000,-0.999068
0.135000,-0.054654
0.140000,0.082021
0.145000,0.431397
0.150000,0.269915
0.155000,-0.591163
0.160000,0.458457
0.165000,-0.057578
0.170000,0.331306
0.175000,0.897635
0.180000,0.074987
0.185000,-0.637313
0.190000,-0.670088
0.195000,-0.015455
0.200000,0.702275
0.205000,-0.657668
0.210000,-0.493819
0.215000,0.159567
0.220000,-0.741746
0.225000,-0.184840
0.230000,0.080434
0.235000,-0.299847
0.240000,-0.251834
0.245000,-0.537879
0.250000,-0.083144
0.255000,-0.691045
0.260000,0.190400
0.265000,-0.273838
0.270000,-0.414551
0.275000,-0.514047
0.280000,0.081410
0.285000,0.242924
0.290000,-0.529982
0.295000,-0.294880
0.300000,-0.041769
0.305000,-0.323158
0.310000,0.589418
0.314999,-0.030470
0.319999,0.520930
0.324999,0.509871
0.329999,0.584528
0.334999,-0.121218
0.339999,-0.279154
0.344999,-0.052124
0.349999,-0.631705
0.354999,-0.210093
0.359999,0.114574
0.364999,0.491452
0.369999,1.145349
0.374999,0.246797
0.379999,-0.195485
0.384999,-0.647616
0.389999,0.265143
0.394998,0.151327
0.399998,-0.045606
0.404998,-0.854682
0.409998,0.207208
0.414998,-0.259137
0.419998,0.403066
0.424998,0.059225
0.429998,-0.584320
0.434998,-0.367322
0.439998,-0.259119
0.444998,0.007436
0.449998,-1.034198
0.454998,-1.261510
0.459998,-0.006477
0.464998,0.314794
0.469997,-0.607557
0.474997,-0.549240
0.479997,0.844981
0.484997,0.150082
0.489997,-0.663306
0.494997,-0.165275
0.499997,-0.317674
0.504997,0.281472
0.509997,-0.426139
0.514997,0.184234
0.519997,-0.136302
0.524997,-0.020973
0.529997,-0.665422
0.534997,0.065077
0.539997,0.359453
0.544997,0.169324
0.549996,-0.640621
0.554996,0.034244
0.559996,-0.515730
0.564996,0.370324
0.569996,-0.898819
0.574996,-0.067367
0.579996,-0.095433
0.584996,-0.076550
0.589996,0.348769
0.594996,0.422561
0.599996,-0.983597
0.604996,0.049030
0.609996,-0.310905
0.614996,0.095975
0.619996,0.349831
0.624996,-0.268027
0.629995,0.498089
0.634995,0.086733
0.639995,-1.069263
0.644995,-0.107067
0.649995,0.303362
0.654995,0.620068
0.659995,-0.081879
0.664995,0.578769
0.669995,0.056411
0.674995,0.194689
0.679995,-0.597854
